Feature,Absolute_Target_Correlation,Absolute_Standardized_Mean_Difference
ci_000,0.5533079501989738,2.0992009037880335
bb_000,0.5427437088291446,2.0483201828472297
bv_000,0.5415981341553046,2.0442546285984946
bu_000,0.5415981091897604,2.0442544710108783
cq_000,0.5415980924355849,2.044254447388807
bt_000,0.5374521967756642,1.9352869149425114
aa_000,0.5369783925131034,1.9251508988052628
aq_000,0.5311345698860835,1.7179118708388375
bj_000,0.5252487326956182,1.534772671722021
ah_000,0.5245905526281494,2.070544688063606
an_000,0.5243573995687977,2.009204732226788
bg_000,0.5228625397848642,2.064619088497814
ao_000,0.5198895389036875,1.9550315039978632
cc_000,0.5197986496931621,1.7427932848336476
ap_000,0.5157255150103847,1.7002204278132005
bx_000,0.5124029782763119,1.7399172971304706
by_000,0.5003278188215281,1.4912626944213885
bh_000,0.49738485508897634,1.866803401962742
dn_000,0.49318634841554865,1.8024461803217111
ee_005,0.48701871486605064,1.071839934245699
